Codigo,Municipio,Idade,Total
1501758,Brejo Grande do Araguaia (PA),55 anos,56
1501758,Brejo Grande do Araguaia (PA),59 anos,43
1501758,Brejo Grande do Araguaia (PA),60 anos,50
1501758,Brejo Grande do Araguaia (PA),64 anos,24
1501758,Brejo Grande do Araguaia (PA),70 anos ou mais,252
1501782,Breu Branco (PA),Total,52493
1501782,Breu Branco (PA),Menos de 1 ano,1121
1501782,Breu Branco (PA),3 anos,1296
1501782,Breu Branco (PA),4 anos,1312
1501782,Breu Branco (PA),6 anos,1208
1501782,Breu Branco (PA),7 anos,1305
1501782,Breu Branco (PA),15 anos,1243
1501782,Breu Branco (PA),16 anos,1126
1501782,Breu Branco (PA),17 anos,1122
1501782,Breu Branco (PA),18 anos,1115
1501782,Breu Branco (PA),24 anos,1036
1501782,Breu Branco (PA),25 anos,1061
1501782,Breu Branco (PA),34 anos,695
1501782,Breu Branco (PA),40 anos,659
1501782,Breu Branco (PA),44 anos,448
1501782,Breu Branco (PA),45 anos,476
1501782,Breu Branco (PA),49 anos,378
1501782,Breu Branco (PA),50 anos,450
1501782,Breu Branco (PA),54 anos,332
1501782,Breu Branco (PA),55 anos,357
1501782,Breu Branco (PA),59 anos,267
1501782,Breu Branco (PA),60 anos,271
1501782,Breu Branco (PA),64 anos,198
1501782,Breu Branco (PA),70 anos ou mais,1171
1501808,Breves (PA),Total,92860
1501808,Breves (PA),Menos de 1 ano,2350
